ClientId,RaceId
1,1
2,3
3,1
4,1
5,2
6,2
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,1
18,1
18,2
19,1
20,1
21,1
22,2
23,1
24,2
25,1
26,1
27,1
28,2
29,2
30,1
31,1
32,1
33,1
34,2
35,1
36,2
37,2
38,2
39,1
40,1
41,2
42,2
43,1
44,2
45,2
46,1
47,1
48,1
49,2
50,1
51,1
52,2
53,1
54,5
55,2
56,1
57,1
58,1
59,1
60,2
61,2
62,2
63,1
64,1
65,1
66,2
67,1
68,2
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,2
79,1
80,2
81,1
82,2
83,1
84,2
85,1
86,1
87,1
88,2
89,1
90,1
91,1
92,2
93,1
94,2
95,1
96,1
97,1
98,1
99,1
100,3
101,1
102,2
103,1
104,1
105,1
106,1
107,1
108,2
109,2
110,1
111,1
112,1
113,1
114,2
115,1
116,2
117,2
118,1
119,1
120,2
121,2
122,2
123,2
124,1
125,2
126,1
127,1
128,1
129,1
130,1
131,2
132,1
133,1
134,2
135,3
136,2
137,1
138,2
139,1
140,2
141,1
142,1
143,1
144,1
145,2
146,2
147,1
148,1
149,1
150,1
151,2
152,2
153,1
154,1
155,2
156,2
157,1
158,1
159,1
160,1
161,1
162,3
163,2
164,2
165,2
166,2
167,3
168,1
169,1
170,2
171,1
172,2
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,1
181,2
182,2
183,2
184,1
185,1
185,5
186,1
187,1
188,1
189,1
190,2
191,1
192,2
193,1
194,1
195,1
196,1
197,2
198,5
199,1
200,1
201,1
202,2
203,2
204,1
205,2
206,1
207,1
208,1
209,2
210,1
211,1
212,2
213,1
214,2
215,1
216,1
217,2
218,1
219,1
220,3
221,1
222,1
223,1
224,2
225,1
226,2
227,2
228,1
229,1
230,1
231,2
232,2
233,1
234,1
235,1
236,1
237,2
238,1
239,2
240,2
241,1
242,2
243,2
244,1
245,1
246,1
247,1
248,2
249,2
250,2
251,2
252,1
253,2
254,1
255,1
256,2
257,1
257,2
258,1
259,1
260,2
261,1
262,2
263,1
264,1
265,1
266,1
267,2
268,1
269,1
270,1
271,1
272,2
273,2
274,1
275,1
276,1
277,1
278,3
279,1
280,2
281,1
282,2
